signal_year,year,split,n_universe,n_top,top_return_3m,universe_return_3m,alpha_return_3m,top_return_6m,universe_return_6m,alpha_return_6m,top_return_1y,universe_return_1y,alpha_return_1y
2019,2020,Train,55,10,-26.49,-21.4,-5.09,-14.49,-8.37,-6.12,-3.42,6.71,-10.13
2020,2021,Train,56,10,12.62,10.83,1.79,20.39,19.3,1.09,33.27,27.75,5.52
2021,2022,Train,57,10,0.58,2.18,-1.6,-9.08,-4.62,-4.46,-2.56,0.19,-2.75
2022,2023,Train,61,10,6.97,4.46,2.51,17.26,10.13,7.13,21.9,19.81,2.09
2023,2024,Test,62,10,12.05,7.99,4.06,18.7,9.33,9.37,39.98,17.51,22.47
2024,2025,Test,64,10,4.93,5.13,-0.2,17.41,12.52,4.89,24.04,24.25,-0.21
